,,Paste data from survey (sort by name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apple,Banana,Caterpillar,Donkey,Elephant,Fringle,Gargoyle,Humid,Interstellar,Jupiter,Koala,Lumpy,Mongoose,Nickleback,Octopus,Platypus,Quail,Railroad,Snake,Train,Uuvula,Violin,Wonky,Xylophone,Youngster,Zebra,Alabama,Bikini,Cat,Dumby,Egg,Flick,Great,Heat,Intelligent,Juggle,Kill,Love,,,,,,
Train,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,,,,
Uuvula,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,
Violin,,,,,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES, I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,I would especially enjoy working with this person.,,,,,,,,,,,,
Wonky,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Xylophone,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,
Youngster,I would especially enjoy working with this person.,,,,,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,,,,,,
Zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,,,,,,,,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,,
Bikini,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Cat,,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,,,,,,,,,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,,,,
